full_date,date_key,year,quarter,month,month_name,week,day_of_week,is_weekend
2016-09-04,20160904,2016,3,9,September,35,Sunday,True
2016-09-05,20160905,2016,3,9,September,36,Monday,False
2016-09-06,20160906,2016,3,9,September,36,Tuesday,False
2016-09-07,20160907,2016,3,9,September,36,Wednesday,False
2016-09-08,20160908,2016,3,9,September,36,Thursday,False
2016-09-09,20160909,2016,3,9,September,36,Friday,False
2016-09-10,20160910,2016,3,9,September,36,Saturday,True
2016-09-11,20160911,2016,3,9,September,36,Sunday,True
2016-09-12,20160912,2016,3,9,September,37,Monday,False
2016-09-13,20160913,2016,3,9,September,37,Tuesday,False
2016-09-14,20160914,2016,3,9,September,37,Wednesday,False
2016-09-15,20160915,2016,3,9,September,37,Thursday,False
2016-09-16,20160916,2016,3,9,September,37,Friday,False
2016-09-17,20160917,2016,3,9,September,37,Saturday,True
2016-09-18,20160918,2016,3,9,September,37,Sunday,True
2016-09-19,20160919,2016,3,9,September,38,Monday,False
2016-09-20,20160920,2016,3,9,September,38,Tuesday,False
2016-09-21,20160921,2016,3,9,September,38,Wednesday,False
2016-09-22,20160922,2016,3,9,September,38,Thursday,False
2016-09-23,20160923,2016,3,9,September,38,Friday,False
2016-09-24,20160924,2016,3,9,September,38,Saturday,True
2016-09-25,20160925,2016,3,9,September,38,Sunday,True
2016-09-26,20160926,2016,3,9,September,39,Monday,False
2016-09-27,20160927,2016,3,9,September,39,Tuesday,False
2016-09-28,20160928,2016,3,9,September,39,Wednesday,False
2016-09-29,20160929,2016,3,9,September,39,Thursday,False
2016-09-30,20160930,2016,3,9,September,39,Friday,False
2016-10-01,20161001,2016,4,10,October,39,Saturday,True
2016-10-02,20161002,2016,4,10,October,39,Sunday,True
2016-10-03,20161003,2016,4,10,October,40,Monday,False
2016-10-04,20161004,2016,4,10,October,40,Tuesday,False
2016-10-05,20161005,2016,4,10,October,40,Wednesday,False
2016-10-06,20161006,2016,4,10,October,40,Thursday,False
2016-10-07,20161007,2016,4,10,October,40,Friday,False
2016-10-08,20161008,2016,4,10,October,40,Saturday,True
2016-10-09,20161009,2016,4,10,October,40,Sunday,True
2016-10-10,20161010,2016,4,10,October,41,Monday,False
2016-10-11,20161011,2016,4,10,October,41,Tuesday,False
2016-10-12,20161012,2016,4,10,October,41,Wednesday,False
2016-10-13,20161013,2016,4,10,October,41,Thursday,False
2016-10-14,20161014,2016,4,10,October,41,Friday,False
2016-10-15,20161015,2016,4,10,October,41,Saturday,True
2016-10-16,20161016,2016,4,10,October,41,Sunday,True
2016-10-17,20161017,2016,4,10,October,42,Monday,False
2016-10-18,20161018,2016,4,10,October,42,Tuesday,False
2016-10-19,20161019,2016,4,10,October,42,Wednesday,False
2016-10-20,20161020,2016,4,10,October,42,Thursday,False
2016-10-21,20161021,2016,4,10,October,42,Friday,False
2016-10-22,20161022,2016,4,10,October,42,Saturday,True
2016-10-23,20161023,2016,4,10,October,42,Sunday,True
2016-10-24,20161024,2016,4,10,October,43,Monday,False
2016-10-25,20161025,2016,4,10,October,43,Tuesday,False
2016-10-26,20161026,2016,4,10,October,43,Wednesday,False
2016-10-27,20161027,2016,4,10,October,43,Thursday,False
2016-10-28,20161028,2016,4,10,October,43,Friday,False
2016-10-29,20161029,2016,4,10,October,43,Saturday,True
2016-10-30,20161030,2016,4,10,October,43,Sunday,True
2016-10-31,20161031,2016,4,10,October,44,Monday,False
2016-11-01,20161101,2016,4,11,November,44,Tuesday,False
2016-11-02,20161102,2016,4,11,November,44,Wednesday,False
2016-11-03,20161103,2016,4,11,November,44,Thursday,False
2016-11-04,20161104,2016,4,11,November,44,Friday,False
2016-11-05,20161105,2016,4,11,November,44,Saturday,True
2016-11-06,20161106,2016,4,11,November,44,Sunday,True
2016-11-07,20161107,2016,4,11,November,45,Monday,False
2016-11-08,20161108,2016,4,11,November,45,Tuesday,False
2016-11-09,20161109,2016,4,11,November,45,Wednesday,False
2016-11-10,20161110,2016,4,11,November,45,Thursday,False
2016-11-11,20161111,2016,4,11,November,45,Friday,False
2016-11-12,20161112,2016,4,11,November,45,Saturday,True
2016-11-13,20161113,2016,4,11,November,45,Sunday,True
2016-11-14,20161114,2016,4,11,November,46,Monday,False
2016-11-15,20161115,2016,4,11,November,46,Tuesday,False
2016-11-16,20161116,2016,4,11,November,46,Wednesday,False
2016-11-17,20161117,2016,4,11,November,46,Thursday,False
2016-11-18,20161118,2016,4,11,November,46,Friday,False
2016-11-19,20161119,2016,4,11,November,46,Saturday,True
2016-11-20,20161120,2016,4,11,November,46,Sunday,True
2016-11-21,20161121,2016,4,11,November,47,Monday,False
2016-11-22,20161122,2016,4,11,November,47,Tuesday,False
2016-11-23,20161123,2016,4,11,November,47,Wednesday,False
2016-11-24,20161124,2016,4,11,November,47,Thursday,False
2016-11-25,20161125,2016,4,11,November,47,Friday,False
2016-11-26,20161126,2016,4,11,November,47,Saturday,True
2016-11-27,20161127,2016,4,11,November,47,Sunday,True
2016-11-28,20161128,2016,4,11,November,48,Monday,False
2016-11-29,20161129,2016,4,11,November,48,Tuesday,False
2016-11-30,20161130,2016,4,11,November,48,Wednesday,False
2016-12-01,20161201,2016,4,12,December,48,Thursday,False
2016-12-02,20161202,2016,4,12,December,48,Friday,False
2016-12-03,20161203,2016,4,12,December,48,Saturday,True
2016-12-04,20161204,2016,4,12,December,48,Sunday,True
2016-12-05,20161205,2016,4,12,December,49,Monday,False
2016-12-06,20161206,2016,4,12,December,49,Tuesday,False
2016-12-07,20161207,2016,4,12,December,49,Wednesday,False
2016-12-08,20161208,2016,4,12,December,49,Thursday,False
2016-12-09,20161209,2016,4,12,December,49,Friday,False
2016-12-10,20161210,2016,4,12,December,49,Saturday,True
2016-12-11,20161211,2016,4,12,December,49,Sunday,True
2016-12-12,20161212,2016,4,12,December,50,Monday,False
2016-12-13,20161213,2016,4,12,December,50,Tuesday,False
2016-12-14,20161214,2016,4,12,December,50,Wednesday,False
2016-12-15,20161215,2016,4,12,December,50,Thursday,False
2016-12-16,20161216,2016,4,12,December,50,Friday,False
2016-12-17,20161217,2016,4,12,December,50,Saturday,True
2016-12-18,20161218,2016,4,12,December,50,Sunday,True
2016-12-19,20161219,2016,4,12,December,51,Monday,False
2016-12-20,20161220,2016,4,12,December,51,Tuesday,False
2016-12-21,20161221,2016,4,12,December,51,Wednesday,False
2016-12-22,20161222,2016,4,12,December,51,Thursday,False
2016-12-23,20161223,2016,4,12,December,51,Friday,False
2016-12-24,20161224,2016,4,12,December,51,Saturday,True
2016-12-25,20161225,2016,4,12,December,51,Sunday,True
2016-12-26,20161226,2016,4,12,December,52,Monday,False
2016-12-27,20161227,2016,4,12,December,52,Tuesday,False
2016-12-28,20161228,2016,4,12,December,52,Wednesday,False
2016-12-29,20161229,2016,4,12,December,52,Thursday,False
2016-12-30,20161230,2016,4,12,December,52,Friday,False
2016-12-31,20161231,2016,4,12,December,52,Saturday,True
2017-01-01,20170101,2017,1,1,January,52,Sunday,True
2017-01-02,20170102,2017,1,1,January,1,Monday,False
2017-01-03,20170103,2017,1,1,January,1,Tuesday,False
2017-01-04,20170104,2017,1,1,January,1,Wednesday,False
2017-01-05,20170105,2017,1,1,January,1,Thursday,False
2017-01-06,20170106,2017,1,1,January,1,Friday,False
2017-01-07,20170107,2017,1,1,January,1,Saturday,True
2017-01-08,20170108,2017,1,1,January,1,Sunday,True
2017-01-09,20170109,2017,1,1,January,2,Monday,False
2017-01-10,20170110,2017,1,1,January,2,Tuesday,False
2017-01-11,20170111,2017,1,1,January,2,Wednesday,False
2017-01-12,20170112,2017,1,1,January,2,Thursday,False
2017-01-13,20170113,2017,1,1,January,2,Friday,False
2017-01-14,20170114,2017,1,1,January,2,Saturday,True
2017-01-15,20170115,2017,1,1,January,2,Sunday,True
2017-01-16,20170116,2017,1,1,January,3,Monday,False
2017-01-17,20170117,2017,1,1,January,3,Tuesday,False
2017-01-18,20170118,2017,1,1,January,3,Wednesday,False
2017-01-19,20170119,2017,1,1,January,3,Thursday,False
2017-01-20,20170120,2017,1,1,January,3,Friday,False
2017-01-21,20170121,2017,1,1,January,3,Saturday,True
2017-01-22,20170122,2017,1,1,January,3,Sunday,True
2017-01-23,20170123,2017,1,1,January,4,Monday,False
2017-01-24,20170124,2017,1,1,January,4,Tuesday,False
2017-01-25,20170125,2017,1,1,January,4,Wednesday,False
2017-01-26,20170126,2017,1,1,January,4,Thursday,False
2017-01-27,20170127,2017,1,1,January,4,Friday,False
2017-01-28,20170128,2017,1,1,January,4,Saturday,True
2017-01-29,20170129,2017,1,1,January,4,Sunday,True
2017-01-30,20170130,2017,1,1,January,5,Monday,False
2017-01-31,20170131,2017,1,1,January,5,Tuesday,False
2017-02-01,20170201,2017,1,2,February,5,Wednesday,False
2017-02-02,20170202,2017,1,2,February,5,Thursday,False
2017-02-03,20170203,2017,1,2,February,5,Friday,False
2017-02-04,20170204,2017,1,2,February,5,Saturday,True
2017-02-05,20170205,2017,1,2,February,5,Sunday,True
2017-02-06,20170206,2017,1,2,February,6,Monday,False
2017-02-07,20170207,2017,1,2,February,6,Tuesday,False
2017-02-08,20170208,2017,1,2,February,6,Wednesday,False
2017-02-09,20170209,2017,1,2,February,6,Thursday,False
2017-02-10,20170210,2017,1,2,February,6,Friday,False
2017-02-11,20170211,2017,1,2,February,6,Saturday,True
2017-02-12,20170212,2017,1,2,February,6,Sunday,True
2017-02-13,20170213,2017,1,2,February,7,Monday,False
2017-02-14,20170214,2017,1,2,February,7,Tuesday,False
2017-02-15,20170215,2017,1,2,February,7,Wednesday,False
2017-02-16,20170216,2017,1,2,February,7,Thursday,False
2017-02-17,20170217,2017,1,2,February,7,Friday,False
2017-02-18,20170218,2017,1,2,February,7,Saturday,True
2017-02-19,20170219,2017,1,2,February,7,Sunday,True
2017-02-20,20170220,2017,1,2,February,8,Monday,False
2017-02-21,20170221,2017,1,2,February,8,Tuesday,False
2017-02-22,20170222,2017,1,2,February,8,Wednesday,False
2017-02-23,20170223,2017,1,2,February,8,Thursday,False
2017-02-24,20170224,2017,1,2,February,8,Friday,False
2017-02-25,20170225,2017,1,2,February,8,Saturday,True
2017-02-26,20170226,2017,1,2,February,8,Sunday,True
2017-02-27,20170227,2017,1,2,February,9,Monday,False
2017-02-28,20170228,2017,1,2,February,9,Tuesday,False
2017-03-01,20170301,2017,1,3,March,9,Wednesday,False
2017-03-02,20170302,2017,1,3,March,9,Thursday,False
2017-03-03,20170303,2017,1,3,March,9,Friday,False
2017-03-04,20170304,2017,1,3,March,9,Saturday,True
2017-03-05,20170305,2017,1,3,March,9,Sunday,True
2017-03-06,20170306,2017,1,3,March,10,Monday,False
2017-03-07,20170307,2017,1,3,March,10,Tuesday,False
2017-03-08,20170308,2017,1,3,March,10,Wednesday,False
2017-03-09,20170309,2017,1,3,March,10,Thursday,False
2017-03-10,20170310,2017,1,3,March,10,Friday,False
2017-03-11,20170311,2017,1,3,March,10,Saturday,True
2017-03-12,20170312,2017,1,3,March,10,Sunday,True
2017-03-13,20170313,2017,1,3,March,11,Monday,False
2017-03-14,20170314,2017,1,3,March,11,Tuesday,False
2017-03-15,20170315,2017,1,3,March,11,Wednesday,False
2017-03-16,20170316,2017,1,3,March,11,Thursday,False
2017-03-17,20170317,2017,1,3,March,11,Friday,False
2017-03-18,20170318,2017,1,3,March,11,Saturday,True
2017-03-19,20170319,2017,1,3,March,11,Sunday,True
2017-03-20,20170320,2017,1,3,March,12,Monday,False
2017-03-21,20170321,2017,1,3,March,12,Tuesday,False
2017-03-22,20170322,2017,1,3,March,12,Wednesday,False
2017-03-23,20170323,2017,1,3,March,12,Thursday,False
2017-03-24,20170324,2017,1,3,March,12,Friday,False
2017-03-25,20170325,2017,1,3,March,12,Saturday,True
2017-03-26,20170326,2017,1,3,March,12,Sunday,True
2017-03-27,20170327,2017,1,3,March,13,Monday,False
2017-03-28,20170328,2017,1,3,March,13,Tuesday,False
2017-03-29,20170329,2017,1,3,March,13,Wednesday,False
2017-03-30,20170330,2017,1,3,March,13,Thursday,False
2017-03-31,20170331,2017,1,3,March,13,Friday,False
2017-04-01,20170401,2017,2,4,April,13,Saturday,True
2017-04-02,20170402,2017,2,4,April,13,Sunday,True
2017-04-03,20170403,2017,2,4,April,14,Monday,False
2017-04-04,20170404,2017,2,4,April,14,Tuesday,False
2017-04-05,20170405,2017,2,4,April,14,Wednesday,False
2017-04-06,20170406,2017,2,4,April,14,Thursday,False
2017-04-07,20170407,2017,2,4,April,14,Friday,False
