order_date,year,month_name,day_of_week,order_count,daily_revenue,avg_order_value,rolling_30d_revenue,rolling_7d_revenue,cumulative_revenue,dod_change_pct
2016-09-15,2016,September,Thursday,1,,,,,,
2016-10-03,2016,October,Monday,7,559.53,79.93,559.53,559.53,559.53,
2016-10-04,2016,October,Tuesday,54,9821.42,181.88,10380.95,10380.95,10380.95,1655.3
2016-10-05,2016,October,Wednesday,35,7209.5,205.99,17590.45,17590.45,17590.45,-26.59
2016-10-06,2016,October,Thursday,41,6733.52,164.23,24323.97,24323.97,24323.97,-6.6
2016-10-07,2016,October,Friday,38,6832.76,179.81,31156.73,31156.73,31156.73,1.47
2016-10-08,2016,October,Saturday,36,8475.93,235.44,39632.66,39632.66,39632.66,24.05
2016-10-09,2016,October,Sunday,20,3037.32,151.87,42669.98,42669.98,42669.98,-64.17
2016-10-10,2016,October,Monday,34,3896.73,114.61,46566.71,46007.18,46566.71,28.3
2016-12-23,2016,December,Friday,1,19.62,19.62,46586.33,36205.38,46586.33,-99.5
2017-01-05,2017,January,Thursday,32,707.27,22.1,47293.6,29703.15,47293.6,3504.84
2017-01-06,2017,January,Friday,4,988.28,247.07,48281.88,23957.91,48281.88,39.73
2017-01-07,2017,January,Saturday,4,1447.99,362.0,49729.87,18573.14,49729.87,46.52
2017-01-08,2017,January,Sunday,4,507.85,126.96,50237.72,10605.06,50237.72,-64.93
2017-01-09,2017,January,Monday,5,774.51,154.9,51012.23,8342.25,51012.23,52.51
2017-01-10,2017,January,Tuesday,6,1571.17,261.86,52583.4,6016.69,52583.4,102.86
2017-01-11,2017,January,Wednesday,10,2098.78,209.88,54682.18,8095.85,54682.18,33.58
2017-01-12,2017,January,Thursday,12,1720.35,143.36,56402.53,9108.93,56402.53,-18.03
2017-01-13,2017,January,Friday,10,2712.86,271.29,59115.39,10833.51,59115.39,57.69
2017-01-14,2017,January,Saturday,16,1161.08,72.57,60276.47,10546.6,60276.47,-57.2
2017-01-15,2017,January,Sunday,14,2551.34,182.24,62827.81,12590.09,62827.81,119.74
2017-01-16,2017,January,Monday,18,3668.38,203.8,66496.19,15483.96,66496.19,43.78
2017-01-17,2017,January,Tuesday,32,3893.61,121.68,70389.8,17806.4,70389.8,6.14
2017-01-18,2017,January,Wednesday,30,3811.68,127.06,74201.48,19519.3,74201.48,-2.1
2017-01-19,2017,January,Thursday,29,4140.16,142.76,78341.64,21939.11,78341.64,8.62
2017-01-20,2017,January,Friday,28,4656.05,166.29,82997.69,23882.3,82997.69,12.46
2017-01-21,2017,January,Saturday,22,2897.86,131.72,85895.55,25619.08,85895.55,-37.76
2017-01-22,2017,January,Sunday,30,4141.87,138.06,90037.42,27209.61,90037.42,42.93
2017-01-23,2017,January,Monday,36,7221.59,200.6,97259.01,30762.82,97259.01,74.36
2017-01-24,2017,January,Tuesday,38,5954.18,156.69,103213.19,32823.39,103213.19,-17.55
2017-01-25,2017,January,Wednesday,57,8196.05,143.79,111409.24,37207.76,111409.24,37.65
2017-01-26,2017,January,Thursday,82,14824.8,180.79,125674.51,47892.4,126234.04,80.88
2017-01-27,2017,January,Friday,59,12458.14,211.15,128311.23,55694.49,138692.18,-15.96
2017-01-28,2017,January,Saturday,28,5736.98,204.89,126838.71,58533.61,144429.16,-53.95
2017-01-29,2017,January,Sunday,32,6593.76,206.05,126698.95,60985.5,151022.92,14.93
2017-01-30,2017,January,Monday,48,11290.93,235.23,131157.12,65054.84,162313.85,71.24
2017-01-31,2017,January,Tuesday,64,11818.15,184.66,134499.34,70918.81,174132.0,4.67
2017-02-01,2017,February,Wednesday,61,8788.7,144.08,140250.72,71511.46,182920.7,-25.63
2017-02-02,2017,February,Thursday,67,10342.54,154.37,146696.53,67029.2,193263.24,17.68
2017-02-03,2017,February,Friday,54,10797.07,199.95,157473.98,65368.13,204060.31,4.39
2017-02-04,2017,February,Saturday,64,15320.15,239.38,172086.86,74951.3,219380.46,41.89
2017-02-05,2017,February,Sunday,74,10035.21,135.61,181133.79,78392.75,229415.67,-34.5
2017-02-06,2017,February,Monday,78,10893.73,139.66,190579.53,77995.55,240309.4,8.56
2017-02-07,2017,February,Tuesday,108,16020.23,148.34,206091.91,82197.63,256329.63,47.06
2017-02-08,2017,February,Wednesday,83,13517.96,162.87,218835.36,86926.89,269847.59,-15.62
2017-02-09,2017,February,Thursday,73,10568.42,144.77,227832.61,87152.77,280416.01,-21.82
2017-02-10,2017,February,Friday,63,14492.58,230.04,240226.41,90848.28,294908.59,37.13
2017-02-11,2017,February,Saturday,45,5233.15,116.29,243739.21,80761.28,300141.74,-63.89
2017-02-12,2017,February,Sunday,61,16389.82,268.69,257416.17,87115.89,316531.56,213.19
2017-02-13,2017,February,Monday,74,12174.71,164.52,268429.8,88396.87,328706.27,-25.72
2017-02-14,2017,February,Tuesday,66,12363.65,187.33,278242.11,84740.29,341069.92,1.55
2017-02-15,2017,February,Wednesday,56,7734.14,138.11,282307.87,78956.47,348804.06,-37.44
2017-02-16,2017,February,Thursday,49,6842.42,139.64,285256.68,75230.47,355646.48,-11.53
2017-02-17,2017,February,Friday,45,8059.2,179.09,289504.2,68797.09,363705.68,17.78
2017-02-18,2017,February,Saturday,52,8456.59,162.63,293820.63,72020.53,372162.27,4.93
2017-02-19,2017,February,Sunday,37,4195.81,113.4,293360.39,59826.52,376358.08,-50.38
2017-02-20,2017,February,Monday,59,8318.07,140.98,298780.6,55969.88,384676.15,98.25
2017-02-21,2017,February,Tuesday,39,8982.23,230.31,303620.96,52588.46,393658.38,7.98
2017-02-22,2017,February,Wednesday,53,7024.96,132.55,303424.33,51879.28,400683.34,-21.79
2017-02-23,2017,February,Thursday,57,7792.79,136.72,305262.94,52829.65,408476.13,10.93
2017-02-24,2017,February,Friday,60,7779.2,129.65,304846.09,52549.65,416255.33,-0.17
2017-02-25,2017,February,Saturday,39,4347.75,111.48,294369.04,48440.81,420603.08,-44.11
2017-02-26,2017,February,Sunday,42,6101.02,145.26,288011.92,50346.02,426704.1,40.33
2017-02-27,2017,February,Monday,41,6727.34,164.08,289002.28,48755.29,433431.44,10.27
2017-02-28,2017,February,Tuesday,53,11999.21,226.4,294407.73,51772.27,445430.65,78.36
2017-03-01,2017,March,Wednesday,93,14190.98,152.59,297307.78,58938.29,459621.63,18.27
