cohort_month,cohort_size,order_month,months_since_first,active_customers,retention_rate_pct,total_orders,cohort_revenue
2016-09-01,4,2016-09-01,0,4,100.0,4.0,252.24
2016-10-01,324,2016-10-01,0,324,100.0,324.0,59090.48
2016-12-01,1,2016-12-01,0,1,100.0,1.0,19.62
2017-01-01,800,2017-01-01,0,800,100.0,800.0,138488.04
2017-02-01,1780,2017-02-01,0,1780,100.0,1780.0,291908.01
2017-03-01,2682,2017-03-01,0,2682,100.0,2682.0,449863.6
2017-04-01,2404,2017-04-01,0,2404,100.0,2404.0,417788.03
2017-05-01,3700,2017-05-01,0,3700,100.0,3700.0,592918.82
2017-06-01,3245,2017-06-01,0,3245,100.0,3245.0,511276.38
2017-07-01,4026,2017-07-01,0,4026,100.0,4026.0,592382.92
2017-08-01,4331,2017-08-01,0,4331,100.0,4331.0,674396.32
2017-09-01,4285,2017-09-01,0,4285,100.0,4285.0,727762.45
2017-10-01,4631,2017-10-01,0,4631,100.0,4631.0,779677.88
2017-11-01,7544,2017-11-01,0,7544,100.0,7544.0,1194882.8
2017-12-01,5673,2017-12-01,0,5673,100.0,5673.0,878401.48
2018-01-01,7269,2018-01-01,0,7269,100.0,7269.0,1115004.18
2018-02-01,6728,2018-02-01,0,6728,100.0,6728.0,992463.34
2018-03-01,7211,2018-03-01,0,7211,100.0,7211.0,1159652.12
2018-04-01,6939,2018-04-01,0,6939,100.0,6939.0,1160785.48
2018-05-01,6873,2018-05-01,0,6873,100.0,6873.0,1153982.15
2018-06-01,6167,2018-06-01,0,6167,100.0,6167.0,1023880.5
2018-07-01,6292,2018-07-01,0,6292,100.0,6292.0,1066540.75
2018-08-01,6512,2018-08-01,0,6512,100.0,6512.0,1022425.32
2018-09-01,16,2018-09-01,0,16,100.0,16.0,4439.54
2018-10-01,4,2018-10-01,0,4,100.0,4.0,589.67
