customer_key,city,state,recency_days,frequency,monetary,avg_order_value,avg_review_score,last_order_date,r_score,f_score,m_score,rfm_score,total_rfm_score,segment
54996,niteroi,RJ,139,1,4445.5,4445.5,5.0,2018-05-31,4,4,4,444,12,Champions
38473,jundiai,SP,134,1,4034.44,4034.44,5.0,2018-06-05,4,4,4,444,12,Champions
61819,sao paulo,SP,132,1,3256.14,3256.14,1.0,2018-06-07,4,4,4,444,12,Champions
65433,campo novo do parecis,MT,138,1,3242.84,3242.84,3.0,2018-06-01,4,4,4,444,12,Champions
19526,sao luis,MA,148,1,3195.73,3195.73,1.0,2018-05-22,4,4,4,444,12,Champions
61424,brasilia,DF,141,1,2828.42,2828.42,5.0,2018-05-29,4,4,4,444,12,Champions
81694,sao paulo,SP,139,1,2787.87,2787.87,5.0,2018-05-31,4,4,4,444,12,Champions
68135,itajai,SC,149,1,2647.76,2647.76,,2018-05-21,4,4,4,444,12,Champions
16592,olimpia,SP,138,1,2607.09,2607.09,3.0,2018-06-01,4,4,4,444,12,Champions
89616,santo antonio de posse,SP,151,1,2564.65,2564.65,5.0,2018-05-19,4,4,4,444,12,Champions
77391,piraju,SP,145,1,2467.17,2467.17,5.0,2018-05-25,4,4,4,444,12,Champions
18628,salvador,BA,137,1,2183.6,2183.6,5.0,2018-06-02,4,4,4,444,12,Champions
21236,rio de janeiro,RJ,151,1,2153.35,2153.35,5.0,2018-05-19,4,4,4,444,12,Champions
61435,ponta pora,MS,146,1,2133.69,2133.69,5.0,2018-05-24,4,4,4,444,12,Champions
60469,varzea paulista,SP,142,1,2075.48,2075.48,4.0,2018-05-28,4,4,4,444,12,Champions
71730,presidente prudente,SP,154,1,2055.84,2055.84,2.0,2018-05-16,4,4,4,444,12,Champions
43612,santo andre,SP,145,1,1995.69,1995.69,5.0,2018-05-25,4,4,4,444,12,Champions
45192,fortaleza,CE,136,1,1925.77,1925.77,1.0,2018-06-03,4,4,4,444,12,Champions
68319,ferraz de vasconcelos,SP,151,1,1891.07,1891.07,5.0,2018-05-19,4,4,4,444,12,Champions
72073,curitiba,PR,154,1,1830.99,1830.99,5.0,2018-05-16,4,4,4,444,12,Champions
7789,sao paulo,SP,146,1,1828.41,1828.41,4.0,2018-05-24,4,4,4,444,12,Champions
75210,santos,SP,146,1,1733.7,1733.7,4.0,2018-05-24,4,4,4,444,12,Champions
84178,valinhos,SP,134,1,1638.35,1638.35,1.0,2018-06-05,4,4,4,444,12,Champions
69937,maua,SP,152,1,1628.07,1628.07,3.0,2018-05-18,4,4,4,444,12,Champions
93689,belem,PA,132,1,1570.21,1570.21,5.0,2018-06-07,4,4,4,444,12,Champions
74838,campinas,SP,135,1,1528.03,1528.03,4.0,2018-06-04,4,4,4,444,12,Champions
75357,campinas,SP,136,1,1528.03,1528.03,5.0,2018-06-03,4,4,4,444,12,Champions
53384,goiania,GO,140,1,1458.51,1458.51,5.0,2018-05-30,4,4,4,444,12,Champions
80933,bage,RS,137,1,1437.64,1437.64,5.0,2018-06-02,4,4,4,444,12,Champions
53424,rio de janeiro,RJ,151,1,1432.92,1432.92,5.0,2018-05-19,4,4,4,444,12,Champions
77651,sao paulo,SP,143,1,1430.91,1430.91,5.0,2018-05-27,4,4,4,444,12,Champions
98736,salvador,BA,137,1,1416.41,1416.41,3.0,2018-06-02,4,4,4,444,12,Champions
95610,cachoeiro de itapemirim,ES,154,1,1371.88,1371.88,2.0,2018-05-16,4,4,4,444,12,Champions
47400,mucuri,BA,146,1,1349.16,1349.16,5.0,2018-05-24,4,4,4,444,12,Champions
53830,belo horizonte,MG,141,1,1330.88,1330.88,5.0,2018-05-29,4,4,4,444,12,Champions
71102,botucatu,SP,135,1,1327.72,1327.72,4.0,2018-06-04,4,4,4,444,12,Champions
19459,vicosa,MG,135,1,1322.69,1322.69,4.0,2018-06-04,4,4,4,444,12,Champions
41294,sao paulo,SP,154,1,1319.32,1319.32,5.0,2018-05-16,4,4,4,444,12,Champions
53287,rio de janeiro,RJ,151,1,1317.04,1317.04,5.0,2018-05-19,4,4,4,444,12,Champions
73442,sao paulo,SP,148,1,1310.95,1310.95,3.0,2018-05-22,4,4,4,444,12,Champions
29150,sao paulo,SP,147,1,1310.95,1310.95,4.0,2018-05-23,4,4,4,444,12,Champions
31389,tucurui,PA,141,1,1301.01,1301.01,5.0,2018-05-29,4,4,4,444,12,Champions
27283,rio de janeiro,RJ,154,1,1275.39,1275.39,5.0,2018-05-16,4,4,4,444,12,Champions
2223,sao paulo,SP,131,1,1270.7,1270.7,5.0,2018-06-08,4,4,4,444,12,Champions
62557,tapiratiba,SP,132,1,1269.5,1269.5,4.0,2018-06-07,4,4,4,444,12,Champions
79567,nucleo residencial pilar,BA,147,1,1244.74,1244.74,1.0,2018-05-23,4,4,4,444,12,Champions
22393,fatima do sul,MS,132,1,1180.51,1180.51,5.0,2018-06-07,4,4,4,444,12,Champions
70022,santo antonio do pinhal,SP,154,1,1158.99,1158.99,5.0,2018-05-16,4,4,4,444,12,Champions
90199,brasilia,DF,142,1,1125.58,1125.58,5.0,2018-05-28,4,4,4,444,12,Champions
43204,rio claro,SP,151,1,1124.87,1124.87,5.0,2018-05-19,4,4,4,444,12,Champions
55598,marilia,SP,153,1,1119.77,1119.77,5.0,2018-05-17,4,4,4,444,12,Champions
36060,muriae,MG,153,1,1115.37,1115.37,5.0,2018-05-17,4,4,4,444,12,Champions
16524,presidente prudente,SP,133,1,1079.75,1079.75,1.0,2018-06-06,4,4,4,444,12,Champions
58022,petropolis,RJ,140,1,1075.56,1075.56,5.0,2018-05-30,4,4,4,444,12,Champions
69723,coruripe,AL,134,1,1063.09,1063.09,3.0,2018-06-05,4,4,4,444,12,Champions
93804,araucaria,PR,145,1,1053.84,1053.84,1.0,2018-05-25,4,4,4,444,12,Champions
77418,campo grande,MS,152,1,1052.14,1052.14,1.0,2018-05-18,4,4,4,444,12,Champions
79557,vitoria,ES,132,1,1040.55,1040.55,5.0,2018-06-07,4,4,4,444,12,Champions
20313,sao paulo,SP,141,1,1038.9,1038.9,5.0,2018-05-29,4,4,4,444,12,Champions
29563,sao paulo,SP,142,1,1036.74,1036.74,4.0,2018-05-28,4,4,4,444,12,Champions
70953,montes claros,MG,144,1,1023.87,1023.87,4.0,2018-05-26,4,4,4,444,12,Champions
